StrSect,employment
AB101,16000
AB106,2725
AB107,3975
AB115,16800
AB116,6200
AB117,900
AB118,1280
AB119,2175
AB123,19065
AB124,2735
AB125,5140
AB130,525
AB140,975
AB154,1775
AB155,695
AB156,5340
AB157,835
AB158,2375
AB159,1990
AB165,1450
AB166,1610
AB167,925
AB210,24935
AB217,1220
AB219,7170
AB228,3450
AB238,11850
AB241,1475
AB242,875
AB243,4200
AB244,660
AB245,4025
AB251,10475
AB252,19025
AB253,2025
AB301,2150
AB314,915
AB315,3320
AB316,625
AB326,11630
AB327,250
AB338,1685
AB344,125
AB345,1550
AB355,1175
AB368,150
AB379,550
AB387,1275
AB389,925
AB392,3700
AB393,2060
AB416,650
AB417,1100
AB418,1370
AB419,2855
AB420,625
AB421,6095
AB422,2930
AB423,2725
AB424,1300
AB425,1185
AB436,720
AB437,820
AB438,1025
AB439,7590
AB441,1200
AB451,2295
AB452,1325
AB453,875
AB510,8425
AB513,2745
AB514,2150
AB515,1835
AB516,150
AB517,675
AB518,375
AB526,1100
AB534,2650
AB535,525
AB536,275
AB538,560
AB544,1975
AB546,325
AB547,375
AB548,2425
AB554,550
AB555,1695
AB556,850
AB561,2310
AB564,1220
AB565,290
AL11,3000
AL12,1925
AL13,10900
AL14,1875
AL15,4875
AL21,3950
AL22,4350
AL23,1200
AL34,4050
AL35,2950
AL36,4000
AL37,1475
AL38,1175
AL40,5475
AL48,1825
AL49,1875
AL51,675
AL52,4850
AL53,1350
AL54,13925
AL55,1425
AL60,850
AL69,1525
AL71,24175
AL72,1675
AL73,5550
AL74,3000
AL86,7100
AL87,1420
AL95,7500
AL96,1200
AL97,5250
AL100,4775
AL108,2020
AL109,24665
B11,12000
B12,8900
B13,5500
B24,0
B25,0
B31,10000
B32,58000
B33,0
B46,15000
B47,13000
B54,12000
B55,0
B56,0
B57,2675
B64,13000
B65,5350
B66,1075
B67,5650
B74,2250
B75,9250
B81,2925
B82,2145
B83,1615
B94,10250
B95,10580
B100,3375
B109,4085
B111,2960
B112,10750
B113,2850
B114,1500
B120,7200
B128,1475
B129,1395
B130,1940
B138,3200
B139,2985
B144,1865
B145,1250
B146,1725
B147,2325
B151,4500
B152,29700
B153,7300
B160,915
B168,6700
B169,4950
B170,400
B178,2450
B179,3825
B184,350
B185,1400
B186,4500
B187,6800
B191,1375
B192,1700
B193,4250
B201,850
B202,2800
B203,2055
B210,2300
B218,1125
B219,1525
B235,1070
B236,4925
B237,3375
B240,3195
B248,3000
B249,11150
B258,3845
B261,1325
B262,520
B263,5850
B276,1795
B277,3040
B280,1705
B288,2325
B289,1675
B294,930
B295,950
B296,2425
B297,2625
B301,3275
B302,2925
B303,8175
B311,2140
B312,3600
B313,1960
B314,950
B315,2280
B321,3850
B322,1110
B323,4050
B324,820
B330,4675
B338,1900
B339,2295
B346,925
B347,1500
B356,1035
B357,6400
B360,2425
B368,2185
B369,1160
B375,3225
B376,2050
B377,33650
B380,1350
B388,1840
B389,690
B401,0
B421,2750
B422,7400
B435,1550
B436,875
B437,1530
B440,1175
B448,2635
B449,1975
B450,815
B458,1500
B459,5700
B461,8750
B462,1000
B463,3250
B475,875
B476,1950
B487,4400
B495,3750
B496,3050
B504,1700
B601,2900
B602,925
B603,4125
B604,17000
B610,2825
B617,225
B618,3225
B619,2750
B620,1500
B628,10600
B629,845
B631,745
B632,3075
B633,3925
B634,900
B645,3400
B646,1200
B647,1475
B650,3800
B658,1095
B659,970
B661,6750
B662,4000
B663,3750
B664,2550
B675,905
B676,1245
B677,1350
B680,1025
B688,1440
B689,3050
B691,3400
B692,8175
B693,3050
B694,10475
B700,7725
B706,4000
B707,4500
B708,7250
B709,4750
B711,1500
B712,465
B713,1430
B714,6525
B721,2925
B735,3475
B736,7575
B742,7500
B743,1305
B744,1300
B755,1900
B756,1175
B757,5600
B760,7000
B761,3900
B762,480
B769,6000
B771,2035
B772,1905
B773,800
B774,5170
B775,3770
B781,10850
B782,450
B783,6525
B790,1325
B797,6350
B798,4950
B799,950
B807,3600
B901,1875
B902,3545
B903,3675
B904,12200
B908,4000
B911,1300
B912,7325
B913,15525
B920,3800
B927,3125
B928,16395
B929,700
B930,2750
B938,1650
B939,1975
B945,2000
B946,500
B955,2050
B956,950
B966,1200
B974,1250
B975,2350
B976,1750
B980,7835
B987,11915
B988,10030
B989,5270
BA11,3500
BA12,5050
BA13,10050
BA14,900
BA15,13600
BA16,700
BA17,1050
BA18,650
BA19,450
BA20,375
BA21,1185
BA22,1350
BA23,5600
BA24,5800
BA25,2460
BA26,6600
BA27,4800
BA28,3425
BA29,575
BA32,3175
BA33,2050
BA34,5350
BA35,2225
BA44,5400
BA45,2000
BA46,2425
BA51,3100
BA52,3975
BA53,1525
BA68,1550
BA69,4100
BA77,1300
BA80,1800
BA98,800
BA99,2700
BA100,1300
BA111,1900
BA112,3775
BA113,900
BA114,2625
BA115,2775
BA116,450
BA120,2125
BA126,675
BA127,4425
BA128,850
BA129,6550
BA132,600
BA133,2000
BA134,5050
BA140,6225
BA146,2750
BA147,2200
BA148,8700
BA149,1915
BA151,2375
BA152,1675
BA160,6475
BA169,700
BA201,6000
BA202,10800
BA213,3760
BA214,4420
BA215,1885
BA227,1900
BA228,5575
BA229,795
BB11,1750
BB12,19700
BB13,3775
BB14,2250
BB15,7375
BB16,600
BB17,5000
BB18,2370
BB19,1750
BB21,9825
BB22,1490
BB23,2990
BB24,3250
BB25,650
BB26,2400
BB27,4995
BB30,6000
BB31,3500
BB32,1625
BB33,1300
BB44,2850
BB45,300
BB46,1350
BB47,5600
BB48,2625
BB49,1125
BB50,1250
BB51,2350
BB52,5540
BB53,1850
BB54,3625
BB55,7825
BB56,2065
BB67,2700
BB68,775
BB71,4800
BB72,2800
BB73,1150
BB74,2900
BB79,3725
BB80,350
BB87,1000
BB88,5275
BB89,3000
BB90,1100
BB95,4375
BB96,1975
BB97,4450
BB98,2500
BB99,1150
BB101,4850
BB102,4040
BB103,3175
BB104,2000
BB111,10500
BB112,1050
BB113,4000
BB114,900
BB115,3075
BB120,1175
BB126,1875
BB127,2475
BB128,3550
BB129,1800
BB185,2075
BB186,3750
BD11,11000
BD12,0
BD13,5000
BD14,8250
BD15,0
BD21,2670
BD22,900
BD23,645
BD24,1700
BD30,1775
BD37,3375
BD38,3550
BD39,1845
BD40,3520
BD46,8850
BD47,6850
BD48,5000
BD49,3525
BD50,2275
BD57,2675
BD58,3850
BD59,1050
BD61,1785
BD62,3740
BD63,2135
BD71,10000
BD72,2650
BD73,1475
BD74,1475
BD80,3540
BD87,450
BD88,2150
BD89,1625
BD94,2000
BD95,500
BD96,8500
BD100,3475
BD108,1500
BD109,610
BD111,2625
BD112,1475
BD120,4400
BD127,0
BD128,950
BD129,925
BD131,915
BD132,975
BD133,1025
BD134,400
BD135,1100
BD146,990
BD150,450
BD157,1250
BD158,0
BD159,145
BD161,5725
BD162,0
BD163,2855
BD164,650
BD175,1050
BD176,3150
BD177,375
BD181,2230
BD182,450
BD183,8850
BD184,1700
BD193,2350
BD194,3375
BD195,1250
BD196,2600
BD200,1750
BD205,2425
BD206,6250
BD207,2750
BD208,1100
BD209,1450
BD211,425
BD212,350
BD213,6200
BD214,3725
BD215,1735
BD220,1150
BD226,730
BD227,690
BD228,700
BD229,525
BD231,11000
BD232,3100
BD233,2050
BD234,2050
BD235,1200
BD236,2050
BD240,1250
BD249,1250
BH11,0
BH12,8000
BH13,9900
BH14,2490
BH25,6500
BH26,2875
BH37,1550
BH48,4200
BH49,720
BH51,1725
