id,name,lte_4G,easting,northing
TS269,site_31710,1,450683.6482558187,532301.1857386931
TS248,site_11781,1,450782.3571808279,532598.6823498007
TS248,site_31700,1,450624.33570000035,534067.8285000003
TS255,site_31741,1,449834.1959000001,528387.1437000004
TS253,site_28304,1,449388.6395999999,529829.8845500002
TS247,site_28303,1,451374.4111000001,531857.5297500005
TS254,site_14069,1,449142.1058988833,531695.7981299957
TS249,site_61224,1,450006.2355000002,534165.8024000003
TS249,site_5070,1,449901.7305000003,534387.8926500003
TS249,site_31728,1,449642.68465,534784.4021999999
TS249,site_61223,1,449320.17640000023,535880.0068000003
TS260,site_31758,1,448103.9873000004,532737.6783000004
TS260,site_25528,1,449099.1343000001,533224.7557000003
TS260,site_61308,1,448064.0022,533602.8370000003
TS240,site_31764,1,450985.8453000004,532830.6372500004
TS240,site_61271,1,451460.4371000001,533397.7189000003
TS240,site_61225,1,452912.63270000054,533728.8180000006
TS240,site_31769,1,451644.4384000005,534657.9166000003
TS251,site_61229,1,452756.5730000002,529363.3000000004
TS251,site_13433,1,450929.0984917458,530105.5707581141
TS251,site_31766,1,451281.3787000002,531079.4715000003
TS251,site_9713,1,451094.37980000017,531837.5636000002
TS233,site_5720,1,447155.95151398925,525262.9859846802
TS252,site_28306,1,451608.4221000004,527293.9757000001
TS252,site_61295,1,452064.45790000015,527887.1049000005
TS252,site_17040,1,449180.09127804986,528258.3493893574
TS252,site_31768,1,452354.49940000015,528437.1903000004
TS252,site_31798,1,451764.44820000004,528517.1207000001
TS273,site_31784,0,447618.9319499997,535558.0572
TS273,site_61303,0,445778.6738000002,531632.5994000001
TS273,site_133086,0,444503.57430000004,533972.8099000002
TS273,site_31748,0,444073.4976499998,534040.3894499996
TS273,site_6965,0,445865.7218000001,534343.9388000005
TS14,site_31775,1,448295.46304999973,519660.11989999964
TS13,site_13930,1,449364.6095499999,519584.10740000015
TS13,site_70582,1,449844.1683999999,519604.07320000004
TS13,site_31750,1,449704.16784999985,519931.1665999999
TS56,site_31805,1,449201.8841526279,518629.4830956238
TS55,site_11785,1,447885.4284020472,517954.0691659922
TS55,site_31807,1,448834.05450000014,518215.9978000001
TS55,site_28893,1,448429.9814000001,519125.10369999986
TS42,site_5286,1,450339.3672178704,519726.9927746986
TS42,site_15464,1,449801.18179999985,518224.0123
TS42,site_61241,1,450365.2122,518730.9889999999
TS30,site_28894,1,452249.43919999996,517236.8319
TS30,site_61282,1,452514.52520000015,517615.9097
TS39,site_12114,1,452726.5525,518249.9011000001
TS39,site_28899,1,452996.5345999999,519228.1161999998
TS39,site_31734,1,452104.4337,519536.1034999996
TS11,site_31790,1,449317.59619999985,520456.7351499998
TS11,site_61302,1,449637.4929747567,520468.4101831175
TS12,site_12592,1,449509.69472235185,520090.88337605156
TS12,site_13386,1,449542.0964740414,520359.2446298338
TS58,site_61231,1,447416.835,516228.76809999987
TS58,site_6967,1,446933.7663000001,516445.7819000002
TS58,site_28891,1,448731.98600000003,515703.6820999999
TS36,site_31692,1,450724.2969000002,520506.1793
TS36,site_61237,1,450999.31219999975,520707.7827999998
TS78,site_13474,1,452564.52000000014,514865.5222000002
TS78,site_15463,1,451587.82169877156,515587.9952589434
TS54,site_28700,1,447485.34754999995,518944.56635000004
TS43,site_28326,1,450961.2921999999,516688.75570000004
TS43,site_15460,1,450742.444518355,517597.7715816158
TS43,site_31809,1,449687.1316999997,517724.3823999995
TS15,site_26451,1,448594.51639999956,519820.1538999997
TS15,site_12591,1,449384.22433745035,520347.0346663652
TS57,site_13570,1,449404.7627636011,515520.0494864283
TS57,site_28327,1,448138.9473000001,517094.88079999987
TS57,site_61314,1,448503.96630000015,517385.85959999997
TS57,site_28892,1,449256.0935000002,517466.9240000001
TS38,site_61239,1,452519.5132999999,519787.1442
TS38,site_28324,1,452046.4202000002,519837.1348999999
TS38,site_13633,1,451789.3923000001,518655.0286
TS38,site_61311,1,451642.4152,518840.98729999986
TS179,site_61249,1,445828.6266,513874.5018000002
TS179,site_31796,1,446063.68760000006,513875.42050000007
TS179,site_31777,1,445723.64570000005,514705.6154
TS179,site_61292,1,446599.7106999998,514765.5534
TS179,site_31714,1,445984.41891078005,516324.2479863715
TS89,site_24346,1,448744.0102500002,513913.98825
TS89,site_123420,1,453094.5649,513965.4662999998
TS89,site_31752,1,448954.0069,514335.4943000001
TS89,site_28898,1,449531.07759999996,514738.55629999994
TS70,site_9351,0,454531.7226999999,515344.6566999998
TS70,site_31720,0,453877.69372545957,515649.1186201635
TS103,site_31736,1,461385.6439,524186.6749999998
TS103,site_11347,1,460557.02282295574,525090.2625504377
