results_type,environment,inter_site_distance_m,site_area_km2,sites_per_km2,frequency_GHz,bandwidth_MHz,number_of_sectors,generation,ant_type,transmission_type,path_loss_dB,received_power_dBm,interference_dBm,sinr_dB,spectral_efficiency_bps_hz,capacity_mbps,capacity_mbps_km2
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,0.7,10,3,5G,macro,8x8,75.0,-43.0,-74.30016227413276,3.26,8.0,80.0,433.012701892219
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,0.8,10,3,4G,macro,1x1,76.0,-45.0,-74.25959783098372,1.3,0.6016,6.016,32.56255518229486
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,2.6,10,3,4G,macro,1x1,85.0,-46.0,-84.29627884007299,1.3,0.6016,6.016,32.56255518229486
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,3.5,50,3,5G,macro,8x8,87.0,-47.0,-87.30055253428952,2.3,6.4,320.0,1732.050807568876
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,3.7,50,3,5G,macro,8x8,88.0,-49.0,-87.29666562455623,1.3,6.4,320.0,1732.050807568876
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,26,500,3,5G,macro,8x8,105.0,-66.0,-104.29627884007299,1.3,6.4,3200.0,17320.508075688755
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,0.7,10,3,5G,macro,8x8,87.0,-76.0,-86.99997828581876,3.296,8.0,80.0,108.25317547305485
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,0.8,10,3,4G,macro,1x1,88.0,-79.0,-86.26326593189265,1.3,0.6016,6.016,8.140638795573725
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,2.6,10,3,4G,macro,1x1,93.0,-86.0,-96.82390874094432,2.3,0.6016,6.016,8.140638795573725
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,3.5,50,3,5G,macro,8x8,94.0,-88.0,-100.25924267669222,3.3,8.0,400.0,541.2658773652743
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,3.7,50,3,5G,macro,8x8,96.0,-90.0,-99.99978290702776,2.3,6.4,320.0,433.0127018922194
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,26,500,3,5G,macro,8x8,113.0,-106.0,-116.82390874094432,-20.51,0.0,0.0,0.0
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,0.7,10,3,5G,macro,8x8,94.0,-83.0,-93.99978290702776,3.2340000000000004,8.0,80.0,48.11252243246881
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,0.8,10,3,4G,macro,1x1,95.0,-86.0,-93.25959783098372,1.3,0.6016,6.016,3.6180616869216538
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,2.6,10,3,4G,macro,1x1,96.0,-93.0,-103.26326593189265,3.3,0.877,8.77,5.2743352716593925
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,3.5,50,3,5G,macro,8x8,98.0,-95.0,-106.99997828581876,0.48900000000000005,6.4,320.0,192.45008972987523
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,3.7,50,3,5G,macro,8x8,99.0,-96.0,-106.29627884007297,-0.52,0.0,0.0,0.0
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,26,500,3,5G,macro,8x8,116.0,-113.0,-123.26326593189265,-27.51,0.0,0.0,0.0
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,0.7,10,3,5G,macro,8x8,117.0,-88.0,-98.99978290702776,3.26,8.0,80.0,27.063293868263713
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,0.8,10,3,4G,macro,1x1,119.0,-91.0,-98.25924267669222,1.3,0.6016,6.016,2.0351596988934313
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,2.6,10,3,4G,macro,1x1,129.0,-98.0,-108.26326593189265,2.3,0.6016,6.016,2.0351596988934313
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,3.5,50,3,5G,macro,8x8,131.0,-100.0,-111.99978290702776,-4.51,0.0,0.0,0.0
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,3.7,50,3,5G,macro,8x8,132.0,-101.0,-111.26326593189265,-5.51,0.0,0.0,0.0
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,26,500,3,5G,macro,8x8,149.0,-118.0,-128.26326593189265,-32.51,0.0,0.0,0.0
10_percentile,urban,4000,13.856406460551018,0.07216878364870323,0.7,10,3,5G,macro,8x8,124.0,-92.0,-102.26326593189265,2.82,8.0,80.0,17.320508075688775
10_percentile,urban,4000,13.856406460551018,0.07216878364870323,0.8,10,3,4G,macro,1x1,126.0,-95.0,-101.99978290702776,0.22,0.6016,6.016,1.3025022072917958
10_percentile,urban,4000,13.856406460551018,0.07216878364870323,2.6,10,3,4G,macro,1x1,135.0,-102.0,-112.25959783098372,0.48,0.6016,6.016,1.3025022072917958
10_percentile,urban,4000,13.856406460551018,0.07216878364870323,3.5,50,3,5G,macro,8x8,136.0,-104.0,-115.29627884007299,-8.51,0.0,0.0,0.0
