results_type,environment,inter_site_distance_m,site_area_km2,sites_per_km2,frequency_GHz,bandwidth_MHz,number_of_sectors,generation,ant_type,path_loss_dB,received_power_dBm,interference_dBm,sinr_dB,spectral_efficiency_bps_hz,capacity_mbps,capacity_mbps_km2
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,0.7,10,3,5G,macro,74.0,-64.0,-74.30055253428952,3.3,1.9141,19.141,103.60370158653889
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,0.8,10,3,4G,macro,77.0,-68.0,-73.29627884007299,-0.7,0.377,3.77,20.405723576681034
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,1.8,10,3,4G,macro,83.0,-72.0,-82.29627884007297,2.3,0.6016,6.016,32.562555182311165
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,2.6,10,3,4G,macro,85.0,-74.0,-83.30020130014844,2.3,0.6016,6.016,32.562555182311165
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,3.5,40,3,5G,macro,86.0,-75.0,-87.29627884007299,4.26,1.9141,76.564,414.41480634615556
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,3.7,40,3,5G,macro,88.0,-78.0,-87.29627884007299,2.3,1.4766,59.064,319.6932778071853
10_percentile,urban,800,0.5542562584220407,1.8042195912175805,26,200,3,5G,macro,105.0,-94.0,-103.30020130014844,-4.53,0.377,75.4,408.11447153362064
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,0.7,10,3,5G,macro,105.0,-76.0,-87.25924267669222,3.9300000000000015,1.9141,19.141,25.90092539661731
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,0.8,10,3,4G,macro,107.0,-80.0,-85.29627884007299,0.3,0.6016,6.016,8.140638795572318
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,1.8,10,3,4G,macro,115.0,-84.0,-94.29627884007297,2.3,0.6016,6.016,8.140638795572318
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,2.6,10,3,4G,macro,117.0,-86.0,-95.99997828581874,2.3,0.6016,6.016,8.140638795572318
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,3.5,40,3,5G,macro,119.0,-87.0,-99.29627884007299,4.3,2.4063,96.252,130.24480807038344
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,3.7,40,3,5G,macro,120.0,-90.0,-99.26326593189265,2.3,1.4766,59.064,79.9233194517426
10_percentile,urban,1600,2.217025033688163,0.4510548978043951,26,200,3,5G,macro,137.0,-106.0,-115.99997828581874,-16.53,0.0,0.0,0.0
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,0.7,10,3,5G,macro,115.0,-82.0,-93.99997828581876,3.3,1.9141,19.141,11.511522398499164
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,0.8,10,3,4G,macro,118.0,-87.0,-92.26326593189265,0.3,0.6016,6.016,3.618061686921842
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,1.8,10,3,4G,macro,124.0,-91.0,-101.26326593189265,2.3,0.6016,6.016,3.618061686921842
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,2.6,10,3,4G,macro,126.0,-93.0,-102.99978290702776,2.3,0.6016,6.016,3.618061686921842
